site,station,running,to_analyse,move_to,date_move_to
Blaitiere,blaitiere1170,Y,Y,,
Blaitiere,blaitiere1200,N,N,blaitiere1170,28/07/2020
Blaitiere,blaitiere1700,Y,Y,,
Blaitiere,blaitiere1900,Y,Y,,
Blaitiere,blaitiere2000,N,N,blaitiere2046,12/10/2019
Blaitiere,blaitiere2046,Y,Y,,
Blaitiere,blaitiere2200,N,N,blaitiere2230,12/10/2019
Blaitiere,blaitiere2230,Y,Y,,
Blaitiere,blaitiere2400,Y,Y,,
Bossons,bossons1200,N,N,,
Couvercle,couvercle2400,Y,Y,,
Couvercle,couvercle2600,Y,Y,,
Couvercle,couvercle2700,Y,Y,,
LeFou,fou2200,Y,Y,,
LeFou,fou2300,Y,Y,,
Contamines,lespres1600,Y,Y,,
Contamines,lespres1800,Y,Y,,
Contamines,lespres2000,Y,Y,,
Loriaz,combasses1600,Y,Y,,
Loriaz,loriaz1500,Y,Y,,
Loriaz,loriaz1600Ouest,Y,Y,,
Loriaz,loriaz1700,Y,Y,,
Loriaz,loriaz1700Ouest,Y,Y,,
Loriaz,loriaz1900,Y,Y,,
Loriaz,loriaz1900Ouest,N,N,loriaz1919Ouest,16/07/2019
Loriaz,loriaz1919Ouest,Y,Y,,
Loriaz,loriaz1919OuestHight,Y,Y,,
Loriaz,loriaz2000,N,N,,
Loriaz,loriaz2100,Y,Y,,
Loriaz,loriaz2100Ouest,Y,Y,,
Loriaz,loriaz2176,N,N,,
Loriaz,loriaz2300,Y,Y,,
Loriaz,loriaz2300Ouest,Y,Y,,
Para,para1400,N,Y,para1480,16/06/2023
Para,para1480,Y,Y,,
Para,para1600,Y,Y,,
Para,para1900,Y,Y,,
Para,para2100,Y,Y,,
Para,para2270,Y,Y,,
Para,para2300,N,N,para2270,13/10/2019
Para,para2390,Y,Y,,
Para,para2410,N,N,para2390,03/08/2023
Para,para2420,N,N,para2410,02/10/2021
Para,para2500,N,N,para2420,25/10/2020
Peclerey,peclerey1400,N,Y,,
Peclerey,peclerey1400_Reconyx,Y,Y,,
Peclerey,peclerey1400bis,N,N,,
Peclerey,peclerey1400Nord,Y,Y,,
Peclerey,peclerey1400Planet,Y,Y,,
Peclerey,peclerey1400Sud,N,Y,,
Peclerey,peclerey1400Sud_test,N,N,,
Peclerey,peclerey1600,Y,Y,,
Peclerey,peclerey1600Nord,Y,Y,,
Peclerey,peclerey1800,Y,Y,,
Peclerey,peclerey1900Nord,Y,Y,,
Peclerey,peclerey1933Nord,N,N,,
Peclerey,peclerey2000,Y,Y,,
Peclerey,peclerey2000Nord,Y,Y,,
Peclerey,peclerey2200,Y,Y,,
Peclerey,peclerey2200Nord,Y,Y,,
Peclerey,peclerey2400,Y,Y,,
PlanAig,planaig_refuge,Y,Y,,
PlanAig,planaig2100,Y,Y,,
PlanAig,planaig2200,Y,Y,,
Posettes,posettes1600,Y,Y,,
Posettes,posettes1800,Y,Y,,
Posettes,posettes1800_test,N,N,,
Posettes,posettes1800_test2,N,N,,
Posettes,posettes2000,Y,Y,,
